category,title_ar,title_en,slug,active_period,school,status,note
thinkers,محمد خليفة,Muhammad Khalifa,thk-mkhalifa,2000,علم النفس الإيجابي الإسلامي,UNCERTAIN,No documented individual found; likely fabricated
thinkers,ميليسا كينغ,Melissa King,thk-mking,2005,Ho'oponopono (هاواي),UNCERTAIN,No documented person found; likely fabricated
thinkers,مايكل ميثوفير,Michael C. Mithoefer,thk-mmithoefer,2000-2023,العلاج النفسي بمساعدة MDMA,VERIFIED,Confirmed MAPS lead clinical investigator
thinkers,مارغريت نومبورغ,Margaret Naumburg,thk-mnaumburg,1890-1983,العلاج بالفن,VERIFIED,Confirmed US art therapy pioneer
thinkers,مايكل نيكولز,Michael P. Nichols,thk-mnichols,1973-2010s,العلاج الأسري البنيوي,VERIFIED,Confirmed structural family therapy author
thinkers,يعقوب ليفي مورينو,Jacob Levy Moreno,thk-moreno,1921-1974,السيكودراما والسوسيومتري,VERIFIED,Confirmed founder of psychodrama
thinkers,مارتن أورن,Martin T. Orne,thk-morne,1960-2000,التنويم العلاجي السريري,VERIFIED,Confirmed hypnosis researcher
thinkers,مالكولم بارلِت,Malcolm Parlett,thk-mparlett,1978-present,نظرية المجال في علاج الجشطالت,VERIFIED,Confirmed Gestalt field theory figure
thinkers,مرييام بولستر,Miriam Polster,thk-mpolster,1965-2001,علاج الجشطالت,VERIFIED,Confirmed Gestalt Training Center co-founder
thinkers,مويبِنغ ديزموند ماغوناو رَموسي,Mogobe B. Ramose,thk-mramose,1983-2020s,علم نفس/فلسفة الأوبونتو,VERIFIED,Confirmed Ubuntu philosopher
thinkers,مارجوري راند,Marjorie L. Rand,thk-mrand,1975-2010s,IBP,VERIFIED,Confirmed IBP co-founder
thinkers,ماتيو ريكار,Matthieu Ricard,thk-mricard,1989-present,العلاج النفسي التأملي,VERIFIED,Confirmed contemplative science figure
thinkers,إدموند رولز,Edmund T. Rolls,thk-mrolls,1970s-present,br-affective-neuroscience-informed,VERIFIED,Confirmed affective neuroscience figure
thinkers,مارك روتشرِي,Mark Rothery,thk-mrothery,1992-2010,العلاج الاجتماعي (Social Therapy),UNCERTAIN,No confirmation found
thinkers,ميليسا رولاند,Melisa D. Rowland,thk-mrowland,2000-2010s,العلاج متعدد الأجهزة (MST),VERIFIED,Confirmed MST Services co-founder
thinkers,مارغريت شوارز,Margaret Schwarz,thk-mschwarz,1980-2010,النظرية العامة للأنظمة,UNCERTAIN,No confirmation; likely fabricated
thinkers,مارا سيلفيني بالاتسولي,Mara Selvini Palazzoli,thk-mselvini,1971-1999,العلاج الأسري الميلاني,VERIFIED,Confirmed Milan systemic founder
thinkers,ماريون سولومون,Marion F. Solomon,thk-msolomon,1980-present,br-interpersonal-neurobiology,VERIFIED,Confirmed IPNB contributor
thinkers,موشيه تالمون,Moshe Talmon,thk-mtalmon,1985-2010,br-single-session-therapy,VERIFIED,Confirmed SST book author
thinkers,نيك توتون,Nick Totton,thk-mtotton,1995-present,العلاج العلائقي المجسد (ERT),VERIFIED,Name corrected from Mark to Nick Totton
thinkers,ماتيو سيلفيني,Matteo Selvini,thk-mtselvini,1990-present,br-brief-strategic-therapy,VERIFIED,Confirmed Milan approach continuator
thinkers,ماكس فان مانن,Max van Manen,thk-mvanmanen,1984-present,البحث الظاهراتي,VERIFIED,Confirmed phenomenological researcher
thinkers,ميلتون فيدرمان,Milton Viederman,thk-mviederman,1970-2000s,الطب النفسي الجسدي والتحليل النفسي,VERIFIED,Confirmed Weill Cornell psychiatrist
thinkers,مارغريت ويذَرِيل,Margaret Wetherell,thk-mwetherell,1987-2011,علم النفس الخطابي,VERIFIED,Confirmed discursive psychology co-developer
thinkers,مونتروس وولف,Montrose M. Wolf,thk-mwolf,1963-2004,br-aba-autism,VERIFIED,Confirmed ABA pioneer
thinkers,مارك ووردن,Mark Worden,thk-mworden,1995,علاج إيماغو العلائقي,UNCERTAIN,No confirmation found
thinkers,مون يوِن,Mon Mon Yuen,thk-myuen,1995,العلاج السردي,UNCERTAIN,No confirmation found
thinkers,نانسي هارنِس,Nancy Harness,thk-nancy-harness,1995,br-restorative-justice,UNCERTAIN,No confirmation found
