category,title_ar,title_en,slug,active_period,school,status,note
thinkers,نورمان إبستين,Norman Epstein,thk-nbepstein,1990-2024,CBCT (العلاج الزوجي المعرفي-السلوكي),VERIFIED,Confirmed CBCT co-founder
thinkers,نوربيرتو بوستوس,Norberto Bustos,thk-nbustos,1975-2010,السيكودراما والسوسيومتري,UNCERTAIN,No record found
thinkers,نعوم تشومسكي,Noam Chomsky,thk-nchomsky,1957-,علم النفس,UNCERTAIN,Real but field label mismatch (linguistics not psychology)
thinkers,ناتالي غولدبرغ,Natalie Goldberg,thk-ngoldberg,1986-present,العلاج بالكتابة/الكتابة التعبيرية,VERIFIED,Confirmed writing-practice author
thinkers,نيكول تول,Nicole Toole,thk-nicotole,2010,تقنيات الحرية الانفعالية (EFT),UNCERTAIN,No confirmation
thinkers,نانا إيوسيبا,Nana Iosepa,thk-niosepa,1970-2000,Ho'oponopono (هاواي),UNCERTAIN,No record; likely fabricated
thinkers,نيخيل خانا,Nikhil Khanna,thk-nkhanna,2012,علم النفس الإيجابي الشرقي,UNCERTAIN,No confirmation
thinkers,ناثانئيل لِرمان,Nathaniel Lehrman,thk-nlehrman,1960-2010,العلاج بالتحويل (Conversion Therapy),UNCERTAIN,Budget exhausted before check
thinkers,نْيلسون مَغَنْي,N. Chabani Manganyi,thk-nmanganyi,1973,علم نفس الأوبونتو (Ubuntu),UNCERTAIN,Budget exhausted before check
thinkers,ناتالي روجرز,Natalie Rogers,thk-nrogers,1975-2015,الفنون التعبيرية التعددية,UNCERTAIN,Budget exhausted before check
thinkers,نوبو واتانابي,Nobuo Watanabe,thk-nwatanabe,1990,علاج موريتا,UNCERTAIN,Budget exhausted before check
thinkers,أولغا سيلفرشتاين,Olga Silverstein,thk-osilver,1970-2005,br-dynamic-couples-family-therapy,UNCERTAIN,Budget exhausted before check
thinkers,بابارانغي ريد,Papaarangi Reid,thk-papaarangireid,1995,Kaupapa Māori Psychology,UNCERTAIN,Budget exhausted before check
thinkers,بول أبلباوم,Paul S. Appelbaum,thk-pappelbaum,1977,br-therapeutic-risk-assessment,UNCERTAIN,Budget exhausted before check
thinkers,بارك جونغ-إيك,Park Jong-Ik,thk-parkjongik,1990,علاج الهوابيونغ (Hwabyung),UNCERTAIN,Budget exhausted before check
thinkers,بات ديغان,Patricia E. Deegan,thk-patdeegan,1990,br-recovery-oriented,DUPLICATE,Duplicate of thk-pdeegan
thinkers,باتريس دي ماركو,Patrice De Marco,thk-patrice-de-marco,2005,التنويم الذاتي,UNCERTAIN,Budget exhausted before check
thinkers,بول ثورن,Paul Thorne,thk-paul-thorne,2010,إعادة الولادة,UNCERTAIN,Budget exhausted before check
thinkers,بول جي. توماس,Paul G. Thomas,thk-paulgthomas,1990,السيبرنتيكا النفسية,UNCERTAIN,Likely confusion with Maxwell Maltz
thinkers,بول هولمز,Paul Holmes,thk-paulholmes,1980,السيكودراما والسوسيومتري,UNCERTAIN,Budget exhausted before check
thinkers,فيلس بوث,Phyllis B. Booth,thk-pbooth,1970,Theraplay,UNCERTAIN,Budget exhausted before check
thinkers,بولا كابلان,Paula J. Caplan,thk-pcaplan,1985,العلاج النفسي النسوي,UNCERTAIN,Budget exhausted before check
thinkers,بيما تشُدرُن,Pema Chödrön,thk-pchodron,1984,العلاج النفسي التأملي,UNCERTAIN,Real but field label needs correction
thinkers,باتريشيا ديجان,Patricia Deegan,thk-pdeegan,1990,br-peer-support,DUPLICATE,Duplicate of thk-patdeegan
thinkers,بيغ پيندر,Peg Pendry,thk-peg-pender,2010,فرق العكس العاكسة,UNCERTAIN,Budget exhausted before check
thinkers,بيكا يوكينن,Pekka Jokinen,thk-pekkajokinen,1990,الحوار المفتوح,UNCERTAIN,Budget exhausted before check
thinkers,بينيلوبي إيست,Penelope East,thk-penelopeeast,1980-2010,تقنية ألكسندر,UNCERTAIN,Budget exhausted before check
thinkers,بيني لويس,Penny Lewis,thk-penny-lewis,1980,العلاج بالحركة والرقص,UNCERTAIN,Budget exhausted before check
