category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,ليون فِستِنغر,Leon Festinger,thk-lfestinger,1942-1964,نظرية التنافر المعرفي (Cognitive Dissonance),CONFIRMED_REAL,عالم نفس اجتماعي أمريكي شهير مؤسس نظرية التنافر المعرفي 1957.,TRUE
thinkers,لورانس فيشباين,Lawrence Fischbein,thk-lfish,1980,إعادة التأهيل المهني النفسي (br-psychiatric-vocational-rehab),LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بإعادة التأهيل المهني النفسي.,N-A
thinkers,ليندا هاتش,Linda M. Hatch,thk-lhatch,1990,Body-Mind Centering,LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بـBody-Mind Centering؛ النتائج كلها لأشخاص آخرين بنفس الاسم في مجالات غير ذات صلة.,N-A
thinkers,لين هوفمان,Lynn Hoffman,thk-lhoffman,1969-2010,العلاج الأسري الاستراتيجي (MRI/Palo Alto),CONFIRMED_REAL,معالجة أسرية موثقة جيدا 1924-2017 عملت في MRI بالو ألتو ثم تحولت للعلاج التعاوني/السردي.,TRUE
thinkers,ليندا توهيواي سميث,Linda Tuhiwai Smith,thk-lindatuhiwai,1990-2026,Kaupapa Māori Psychology,CONFIRMED_REAL,باحثة نيوزيلندية حقيقية وبارزة في منهجيات البحث الأصلية ونزع الاستعمار؛ مجالها الدقيق أقرب للتربية/منهجيات البحث منه لعلم النفس الإكلينيكي لكنه قريب جدا من Kaupapa Maori.,TRUE
thinkers,لورنس كولبرغ,Lawrence Kohlberg,thk-lkohlberg,1958-1987,علم نفس الطفل / نظرية النمو الأخلاقي,CONFIRMED_REAL,عالم نفس أمريكي شهير جدا 1927-1987 صاحب نظرية مراحل النمو الأخلاقي.,TRUE
thinkers,ليندا كون,Linda Kuhn,thk-lkuhn,1990,دائرة الأمان (Circle of Security),LIKELY_FABRICATED,لا صلة لأي Linda Kuhn بدائرة الأمان؛ المؤسسون الفعليون هم كينت هوفمان وغلين كوبر وبيرت باول.,N-A
thinkers,لوكا لوزي,Luca Losi,thk-llosi,1995,العلاج الأسري الميلاني (Milan Systemic),LIKELY_FABRICATED,لا يوجد أثر لشخص بهذا الاسم مرتبط بالمدرسة الميلانية؛ النتائج الوحيدة لباحث طبي مختلف تماما (Losi/Richeldi أبحاث سل).,N-A
thinkers,ليستر لوبورسكي,Lester Luborsky,thk-lluborsky,1950-2009,التحليل النفسي الدوري (Cyclical Psychodynamics),CONFIRMED_REAL,عالم نفس أمريكي موثق جيدا 1920-2009 رائد أبحاث فعالية العلاج النفسي التحليلي ومطور CCRT.,TRUE
thinkers,لوسي جين ميلر,Lucy Jane Miller,thk-lmiller,1980-2026,التكامل الحسي (Sensory Integration),CONFIRMED_REAL,أخصائية علاج وظيفي وباحثة أمريكية موثقة جيدا، مؤسسة معهد STAR واضطراب المعالجة الحسية.,TRUE
