category,title_ar,title_en,slug,active_period,school,status,note
thinkers,دانيال بيت,Daniel P. Behnke,thk-michael-yapko-jr,2010,التنويم الإريكسوني,UNCERTAIN,"Searched but found no evidence of a real 'Daniel P. Behnke' documented as an Ericksonian hypnosis figure. Slug oddly references 'michael-yapko-jr' -- Michael Yapko IS a real, well-documented Ericksonian hypnosis psychologist -- suggesting a name/data mismatch in the source row rather than a genuine distinct person."
thinkers,بيتا ستاپلتون,Peta Stapleton,thk-peta-stapleton,2010,تقنيات الحرية الانفعالية (EFT),VERIFIED,"Confirmed real: clinical and health psychologist, Professor at Bond University (Australia), leading EFT/Tapping researcher. Name and field match."
thinkers,بيتر كلاف,Peter Clough,thk-peter-clough,2000,br-performance-psychology,VERIFIED,"Confirmed real: Professor of Psychology (Univ. of Huddersfield), pioneer of mental toughness / performance psychology research. Name and field match."
thinkers,بيتر كيلرمان,Peter F. Kellermann,thk-peterkellermann,1979,السيكودراما والسوسيومتري (Moreno),VERIFIED,"Confirmed real: Peter Felix Kellermann, clinical psychologist and psychodramatist, director of Jerusalem Center for Psychodrama, active in psychodrama/sociometry field since late 1970s. Matches."
thinkers,بيتر سميث,Peter K. Smith,thk-petersmith,1990,علاج التنمر والعدوان,VERIFIED,"Confirmed real: Peter K. Smith (1943-2025), Emeritus Professor of Psychology at Goldsmiths, University of London, internationally renowned bullying/aggression researcher. Matches."
thinkers,بيتر فيشر,Peter Fisher,thk-pfisher,2000,العلاج متعدد الأجهزة (MST),UNCERTAIN,"Searched but found only a single weak mention ('Fisher, Ph.D. multisystemic therapy' on pedpsych.org) -- not enough to confirm this is a distinct, notable MST figure. Could not verify identity or dates."
thinkers,بيتر فونيغي,Peter Fonagy,thk-pfonel,1990,DDP (العلاج التفاعلي النمائي الثنائي),VERIFIED,"Peter Fonagy is a real, major British psychoanalyst/clinical psychologist (b.1952), UCL, known for mentalization theory. HOWEVER the school label is likely wrong: DDP (Dyadic Developmental Psychotherapy) was developed by Daniel Hughes, not Fonagy -- Fonagy is properly associated with Mentalization-Based Treatment (MBT). Recommend correcting the school field."
thinkers,بول فريك,Paul J. Frick,thk-pfrick,1990,br-aggression-treatment,VERIFIED,"Confirmed real: Paul J. Frick, prominent researcher on child conduct disorder and callous-unemotional traits. Matches."
thinkers,بيتر غَسَر,Peter Gasser,thk-pgasser,2010,العلاج بمساعدة MDMA (MAPS),VERIFIED,"Confirmed real: Dr. Peter Gasser, Swiss psychiatrist/psychotherapist, MAPS-affiliated MDMA/LSD-assisted therapy researcher since the 1990s-2000s. Matches."
thinkers,بيتر غودفري,Peter A. Godfrey,thk-pgodfrey,1990,العلاج العلائقي المجسد (ERT),UNCERTAIN,"Searched but found no evidence of a 'Peter A. Godfrey' as founder/figure of Embodied Relational Therapy (ERT). Search results returned unrelated Peter Godfrey-Smith (philosopher) and other unrelated Peter Godfreys (social workers/musicians)."
thinkers,فيليب غيرين,Philip J. Guerin,thk-pguerin,1976-2014,العلاج الأسري بالأنساق (بوين),VERIFIED,"Confirmed real: Philip Guerin, MD, psychiatrist, founder of the Center for Family Learning, major figure in Bowenian family systems therapy. Matches."
thinkers,بي. كيت هَكْني,P. Cathy Hackney,thk-phackney,1990,Body-Mind Centering,UNCERTAIN,"Searched but found no 'P. Cathy Hackney'; instead found 'Peggy Hackney', a real, well-documented Body-Mind Centering / Laban Movement Analysis teacher. Likely name confusion with Peggy Hackney."
thinkers,بول واطزلاويك,Paul Watzlawick,thk-phaley,1960-2007,العلاج الأسري الاستراتيجي (بالي ألتو/MRI),VERIFIED,"Confirmed real and extremely well documented: Paul Watzlawick, MRI Palo Alto strategic family therapy pioneer. Matches (note slug 'phaley' seems to reference Jay Haley rather than Watzlawick, but the name/title given is correctly Watzlawick)."
thinkers,باتريشا هيل كولينز,Patricia Hill Collins,thk-phcollins,1986,br-intersectional-feminist,VERIFIED,"Confirmed real: Patricia Hill Collins, sociologist, leading theorist of intersectionality and Black feminist thought. Field is sociology/critical theory rather than clinical psychology, but entry is accurate."
thinkers,فيليب كَننغهام,Philippe B. Cunningham,thk-philippe-cunningham,2000,br-mst,VERIFIED,"Confirmed real: Phillippe B. Cunningham, PhD, psychologist, MST (Multisystemic Therapy) researcher/clinician. Note: correct spelling is 'Phillippe' (double L), not 'Philippe'."
thinkers,مايكل بيبيتي,Michael Pīpīte,thk-pipitea,2005,Te Whare Tapa Whā (نموذج),UNCERTAIN,"Searched but found no evidence of a 'Michael Pipitea' associated with Te Whare Tapa Whā. All sources credit Sir Mason Durie as the developer of this Māori health model (1984). Likely a name error in the source data."
thinkers,باولو نيل,Paolo J. Knill,thk-pknill,1978,الفنون التعبيرية التعددية,VERIFIED,"Confirmed real: Paolo J. Knill (1932-2020), co-founder of expressive arts therapy, Lesley University / European Graduate School. Matches."
thinkers,روني لانجفان,Roni L. Langevin,thk-plangevin,1983-2005,br-sotp,UNCERTAIN,"Searched but found only 'Ron Langevin', a real male sex-offender-treatment researcher, not 'Roni L. Langevin'. Likely name confusion/error."
thinkers,بول نوردوف,Paul Nordoff,thk-pnordoff,1959-1977,العلاج بالموسيقى,VERIFIED,"Confirmed real: Paul Nordoff (1909-1977), composer and co-founder of Nordoff-Robbins Music Therapy. Active period matches his working years with Clive Robbins/death."
thinkers,بات أوغدن,Pat Ogden (Hakomi context),thk-pogden-hakomi,1980,هاكومي (Hakomi),VERIFIED,"Confirmed real: Pat Ogden, co-founder of the Hakomi Institute alongside Ron Kurtz, later founder of Sensorimotor Psychotherapy. Matches."
thinkers,بات أوغدِن,Pat Ogden,thk-pogden,1981,IBP (العلاج التكاملي للجسد),VERIFIED,"Pat Ogden is confirmed real (founder of Sensorimotor Psychotherapy, co-founder of Hakomi). However the school label 'IBP' (Integrative Body Psychotherapy) is normally attributed to Jack Lee Rosenberg, not Pat Ogden -- possible field mislabel, though the person is genuine."
