category,title_ar,title_en,slug,active_period,school
thinkers,مايكل واشبورن,Michael Washburn,thk-rmwashburn,1975,علم النفس التكاملي (Integral)
thinkers,روبرت بَرجِس,Robert L. Burgess,thk-robert-burgess,2012,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,روبرت كورنليس,Robert E. Cornell,thk-robert-cornelis,1990,التركيز (Focusing)
thinkers,روبرت إيميري,Robert Emery,thk-robert-emery,1990,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,روبرت روتيلا,Robert J. Rotella,thk-robert-rotella,1985,br-sport-psychology
thinkers,روبرت دوفال,Robert Duvall,thk-robertduvall,1970-2000,الديانيتكس / السيانتولوجيا
thinkers,روبرت إليوت,Robert Elliott,thk-robertelliott,1985,العلاج بالخبرة/التجريبي
thinkers,روبرت فريتز,Robert Fritz,thk-robertfritz,1975,السيبرنتيكا النفسية (Psycho-Cybernetics)
thinkers,روهان غوليتش,Rohan J. Gullich,thk-rohan-gullich,2005,br-sport-psychology
thinkers,رولاند تولنتينو,Roland B. Tolentino,thk-roland-tolentino,2000,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,إيدا ب. رولف,Ida P. Rolf,thk-rolf,1960-1979,PBSP (Pesso Boyden System Psychomotor)
thinkers,رولو ماي,Rollo May,thk-rollomay,1939-1994,المدرسة الوجودية
thinkers,روزماري أَلارا,Rosemary Alara,thk-rosemaryalara,1980,الديانيتكس / السيانتولوجيا
thinkers,روزاليند بيكار,Rosalind W. Picard,thk-rpicard,1995,br-ai-chatbot-therapy
thinkers,راشِل بَرايس,Rachel Brice Price,thk-rprice,2005,Body-Mind Centering
thinkers,روبرت رِسنيك,Robert Resnick,thk-rresnick,1990,العلاج العلائقي المجسد (ERT)
thinkers,روبرت سكاير,Robert Scaer,thk-rscaer,1992-2018,العلاج المستنير عصبيًا/بولفاغال
thinkers,روزان شاف,Roseann C. Schaaf,thk-rschaaf,1985,التكامل الحسي (Sensory Integration)
thinkers,روبرت شليب,Robert Schleip,thk-rschleip,1990,الرولفينغ والتكامل الهيكلي
thinkers,روبرت شورت,Robert Short,thk-rshort,1976,علاج إيماغو العلائقي (Imago)
thinkers,روبرت سبيتزر,Robert Spitzer,thk-rspitzer,1973-2015,العلاج بالتحويل (Conversion Therapy)
thinkers,تشو روي-لين,Zhou Ruilin,thk-ruilinzhou,2005,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,روبرت بريست,Robert Priest,thk-rupertpriest,2010,طريقة فيلدنكرايس
thinkers,راسل رزّاق,Russell Razzaque,thk-russellrazzaque,2010,الحوار المفتوح
thinkers,روبرتو فيارو,Roberto Viaro,thk-rviaro,1990,br-brief-strategic-therapy
thinkers,روبرت ويليامز,Robert L. Williams,thk-rwilliams,1970-2020,علم النفس المتمركز حول أفريقيا
thinkers,روبن ووفيت,Robin Wooffitt,thk-rwooffitt,1990,علم النفس الخطابي (Discursive Psychology)
thinkers,شاهيد أثير,Shahid Athar,thk-saathar,1990,علم النفس الإيجابي الإسلامي
thinkers,سارة أحمد,Sara Ahmed,thk-sahmed,1998,br-intersectional-feminist
thinkers,سالما ريدنغ,Salma Reading,thk-salmareading,1995,Te Whare Tapa Whā (نموذج)
thinkers,سولومون آش,Solomon E. Asch,thk-sasch,1940-1990,علم النفس الجشطالتي (برلين)
thinkers,ساتيانارايانا دورِسوامي,Sathyanarayana Doreswamy,thk-sathyanarayana-doreswamy,1970,علم النفس الفيدي (المستند إلى الفيد)
thinkers,ستافورد بير,Stafford Beer,thk-sbeer,1959-2002,النظرية العامة للأنظمة
thinkers,ساندرا بيم,Sandra Bem,thk-sbem,1974-2014,العلاج النفسي النسوي
thinkers,سوزان بلومبرغ,Susan L. Blumberg,thk-sblumberg,1981-2010,PREP (برنامج تعزيز العلاقة والوقاية)
thinkers,سارا بوث,Sandra Lindaman Booth,thk-sbooth,1990,Theraplay (العلاج بالألعاب العلائقي)
thinkers,ستيفان بوشار,Stéphane Bouchard,thk-sbouchard,2003,br-vr-therapy
thinkers,ستيفانو تشيريلو,Stefano Cirillo,thk-scirillo,1980,العلاج الأسري الميلاني
thinkers,سو دوغلاس,Sue Douglas,thk-sdouglas,2005,br-ddp
thinkers,ستيفن إيبِرغ,Steven M. Eyberg,thk-seyberg,1981-2016,PCIT
thinkers,شون غالاغر,Shaun Gallagher,thk-sgallagher,1995,br-embodied-cognition-therapy
thinkers,ستيف جِليغَن,Steve Gilligan,thk-sgilligan,1980,البرمجة اللغوية العصبية (NLP)
thinkers,سو غراند,Sue Grand,thk-sgrand,2000,العلاج العلائقي المجسد (ERT)
thinkers,سوزان هاربر,Susan Harper,thk-sharper,1980,Body-Mind Centering
thinkers,شارون هاپاي,Sharron Hapai,thk-sharron-hapai,2010,Te Whare Tapa Whā (نموذج)
thinkers,سكوت هِنغلَر,Scott W. Henggeler,thk-shenggeler,1980,العلاج متعدد الأجهزة (MST)
thinkers,شيرلي موراي,Shirley Murray,thk-shirley-murray,2000,تقنية ألكسندر
thinkers,سيدني جورارد,Sidney M. Jourard,thk-sidneyjourdan,1958-1974,علم النفس الإنساني
thinkers,سام كالاما,Sam Kalama,thk-skalama,1970-2000,Ho'oponopono (هاواي)
thinkers,ستيفن ك. ليفين,Stephen K. Levine,thk-slevine,1980,الفنون التعبيرية التعددية
thinkers,سيلفيا ليما,Sylvia Lane,thk-slima,1980-1996,علم نفس التحرير (Liberation Psychology)
thinkers,سونيا ليوبوميرسكي,Sonja Lyubomirsky,thk-slyubomirsky,1994,علم النفس الإيجابي (Seligman)
thinkers,ستيفن مادِغان,Stephen Madigan,thk-smadigan,1996,العلاج السردي (Narrative Therapy)
thinkers,شيلا ماكنامي,Sheila McNamee,thk-smcnamee,1990,البنائية الاجتماعية (Social Constructionism)
thinkers,شيري ميد,Shery Mead,thk-smead,1998,br-peer-support
thinkers,ستيفان بايبِر,Stefan B. Piper,thk-spiper,1995,علم النفس النقدي
thinkers,ستيفن بورجِس,Stephen W. Porges,thk-sporges,1994,TRE (تمارين إطلاق الصدمة)
thinkers,غايلينا رودس,Galena K. Rhoades,thk-srhoades,2000,PREP (برنامج تعزيز العلاقة والوقاية)
thinkers,ستانلي روزنبرغ,Stanley Rosenberg,thk-srosenberg,2010,العلاج المستنير عصبيًا/بولفاغال
thinkers,ستيفن روس,Stephen Ross,thk-sross,2009,العلاج بمساعدة psilocybin
thinkers,شارون سالزبرغ,Sharon Salzberg,thk-ssalzberg,1985,العلاج النفسي التأملي
thinkers,سونيا شونوالد,Sonja K. Schoenwald,thk-sschoenwald,1990,العلاج متعدد الأجهزة (MST)
thinkers,سعدية شيخ,Sa'diyya Shaikh,thk-sshaikh,2005,علم النفس الإسلامي/العلاج النفسي الصوفي
thinkers,سوزان سبيير,Susan A. Speer,thk-sspeer,2002,علم النفس الخطابي (Discursive Psychology)
