category,title_ar,title_en,slug,active_period,school
thinkers,أليكس هالفرد,Alex Halford,thk-ahalford,1995,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,أتسيلا كلاينغر,Atzila Klingner,thk-aklinger,1995,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,إيمي فونتانا,Amy E. Fontana,thk-albertellis-somatic,2000,الخبرة الجسدية (Somatic Experiencing)
thinkers,ألكسندرا فاركاش,Alexandra Farkas,thk-alexandra-farkas,2015,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,ألي كورازون,Ali B. Coronado,thk-alicorazon,1995,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,ألبرت مْنكوبِي,Albert Mn cube,thk-amncube,1995-2010,علم نفس الأوبونتو (Ubuntu)
thinkers,إيمي مورغان,Amy E. Morgan,thk-amy-morgan,2010,br-sport-psychology
thinkers,إيميلي بلاك,Emily Black,thk-andrew-barnes,2015,أسلوب إلمان في التنويم
thinkers,أندرو جونسون,Andrew Johnson,thk-andrew-johnson,2010,أسلوب إلمان في التنويم
thinkers,أندرو شنك,Andrew Schnack,thk-andrew-schnack,2010,br-discernment-counseling
thinkers,أنا أريتي,Anna A. Pert,thk-apert,2000,br-ddp
thinkers,ألان شولتز,Alan Schultz,thk-aschultz,1990,العلاج الاجتماعي (Social Therapy)
thinkers,آرثر شوهام,Arthur Shoham,thk-ashoham,1980-2010,br-brief-strategic-therapy
thinkers,[مؤسِّسو ISAP / IIJP / NIJA / Israel Society of Analytical Psychology],Founders of Israel Jungian associations,thk-aulanc,,مدرسة التحليل النفسي
thinkers,باري كريمر,Barry S. Kramer,thk-barry-kramer,2010,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,غاستون بوييسن,Gaston Boyesen,thk-bboyesen,1970,PBSP (Pesso Boyden System Psychomotor)
thinkers,برنارد وايت,Bernard White,thk-bcwhite,1980-2010,br-dynamic-couples-family-therapy
thinkers,بيرنارد دانِفَر,Bernard Dannefer,thk-bdanner,1990,علم نفس الأوبونتو (Ubuntu)
thinkers,مايكل بينثال,Michael Benthall,thk-benthall,1990,الديانيتكس / السيانتولوجيا
thinkers,بيل ماثيوز,Bill Matthews,thk-bill-matthews,2015,Discernment Counseling (الاستشارة التمييزية)
thinkers,بوب مور,Bob Moore,thk-bmoore,1971,EST / Landmark Forum
thinkers,بوب بيك,Bob Beck,thk-bobbeck,1980-2014,السيبرنتيكا النفسية (Psycho-Cybernetics)
thinkers,بريان هيوز,Brian Hug,thk-brianhug,2012,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,برنارد روزن,Bernard Rosen,thk-brosen,1985,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,بروس بيركنز,Bruce S. Perkins,thk-bruceperkins,2005,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,بيرند رويغر,Bernd Rüger,thk-brueger,1990,العلاج الإيجابي عبر-الثقافي (Peseschkian)
thinkers,كارين ألبريت,Karen Albright,thk-calbright,2000,Body-Mind Centering
thinkers,كارولين دالجليش,Carolyn Dalglish,thk-carolyn-dalglish,2012,br-discernment-counseling
thinkers,كارمن دِل أورو,Carmen Dell'Oro,thk-cdello,1990-2015,الأنظمة اللغوية التعاونية
thinkers,كريس دِنْبَره,Chris Denborough,thk-cdenborough,1990,العلاج السردي (Narrative Therapy)
thinkers,سيسيل هيموان,Cecile Himawan,thk-cecilehimawan,2010,الأنساق الأسرية الداخلية (IFS)
thinkers,كولين غاريت,Colin Garrett,thk-cgarrett,2000,Thought Field Therapy (TFT)
thinkers,تشارلز جيربر,Charles Gerber,thk-cgerber2,1990-2010,الأنظمة اللغوية التعاونية
thinkers,كوني ري أندرسون,Connie Rae Anderson,thk-connie-rae-anderson,2000,إعادة الولادة
thinkers,جون مارش,John Marsh,thk-cwhitaker-pt,2000,br-teacch
thinkers,دان براون,Dan Brown,thk-danbrown-ddp,2008,العلاج التفاعلي النمائي الثنائي (DDP)
thinkers,دانييل ليڤيسون,Danielle Levison,thk-daniellevision,1990,العلاج بالحركة والرقص
thinkers,ديفيد إرسغ,David Erceg,thk-david-erceg,2005,br-mst
thinkers,ديفيد كراوس,David A. Krauss,thk-david-krauss,1990,العلاج بالتصوير الضوئي
thinkers,ديفيد ريڤ,David P. Reeve,thk-david-reeve,2010,br-sport-psychology
thinkers,دِنيس كامبل,Dennise Campbell,thk-dcamp,2000,الأنظمة اللغوية التعاونية
thinkers,دبرا كريمر,Deborah K. Kremer,thk-deborah-kremer,2015,العلاج بالتصوير الضوئي
thinkers,ديپاك رامسوبك,Deepak Ramsubick,thk-deepak-ramsubeik,1980,علم النفس الفيدي (المستند إلى الفيد)
thinkers,فرانك غولدشتاين,Frank Goldstein,thk-dhanna,1980,br-psychoeducation
thinkers,دوغلاس كناب,Douglas Knab,thk-dknab,1990,br-psychoeducation
thinkers,دونغ ليو,Dong Liu,thk-dluo,2010,علم النفس الإيجابي الشرقي
thinkers,إيفا ميرسيكا,Eva Drewek-Mericka,thk-dmercieca,,البحث الظاهراتي
thinkers,ديفيد باركر,David Parker,thk-dparker,1995-2015,العلاج الاجتماعي (Social Therapy)
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق)
thinkers,ديفيد واليس,David Wallis,thk-dwallis,1990-2010,العلاج السردي (Narrative Therapy)
thinkers,دونغ-وي تشن,Dong-wei Chen,thk-dwchen,,البحث الظاهراتي
thinkers,إيما كول,Emma Cole,thk-ecolle,2010,العلاج الزوجي التعاوني (Collaborative Couple Therapy)
thinkers,إيلينور كريزوستومو,Eleanor Crisostomo,thk-eleanor-crisostomo,2000,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,إلين ربيك,Elin Rbæk,thk-elin-rbaek,2000,فرق العكس العاكسة (Reflecting Teams)
thinkers,إيف مارودا,Evelyn Maroda,thk-emaroda,1998,العلاج العلائقي المجسد (ERT)
thinkers,إريك رايشيلت,Eric Reichelt,thk-ereichelt,1970,br-teacch (possible confusion with Robert Reichler)
thinkers,إريك پيرسون,Erik Pearson,thk-erikpearson,2005,br-restorative-justice
thinkers,فرانسيسكو غوتيريس,Francisco Gutiérrez,thk-fgutier,1975-2020,علم نفس التحرير (Liberation Psychology)
thinkers,ف. كي. فو,F. K. Fu,thk-fkfu,1980,br-teacch
thinkers,ماري كورنين,Mary E. Corrigan,thk-fmodestin,1990,br-psychiatric-vocational-rehab
thinkers,جين إينيس,Gene Ennis,thk-gene-ennis,2015,br-recovery-oriented
thinkers,جورج تومبسون,George Thompson,thk-george-thompson,2000,تحليل المعاملات (TA)
thinkers,جيليان أبوت,Gillian Abbott,thk-gillian-abbott,2015,العلاج الديناميكي البيني القصير (DIT)
thinkers,غيليس روز,Giles M. Rose,thk-grose,1985-2010,br-psychiatric-rehabilitation
thinkers,غيلي روزيليني,Gayle Rosellini,thk-groselli,1990,علاج إيماغو العلائقي (Imago)
thinkers,جونيل سيدِربلاد,Gunnel Cederblad,thk-gunnel-cederblad,1990,تحليل المعاملات (TA)
thinkers,ف. هرتسوغ,F. Herzog,thk-hherzog,,البحث الظاهراتي
thinkers,هيلموت هوبر,Helmut Huber,thk-hhuber,1965-2005,مدرسة شولتز-هينكه الألمانية (Neo-Kraepelinian)
