category,title_ar,title_en,slug,active_period,school
thinkers,ليون فِستِنغر,Leon Festinger,thk-lfestinger,1945-1989,نظرية التنافر المعرفي (Cognitive Dissonance)
thinkers,لورانس فيشباين,Lawrence Fischbein,thk-lfish,1980,إعادة التأهيل المهني النفسي (br-psychiatric-vocational-rehab)
thinkers,ليندا هاتش,Linda M. Hatch,thk-lhatch,1990,Body-Mind Centering
thinkers,لين هوفمان,Lynn Hoffman,thk-lhoffman,1970,العلاج الأسري الاستراتيجي (MRI/Palo Alto)
thinkers,ليندا توهيواي سميث,Linda Tuhiwai Smith,thk-lindatuhiwai,1990,Kaupapa Māori Psychology
thinkers,لورنس كولبرغ,Lawrence Kohlberg,thk-lkohlberg,1958-1987,علم نفس الطفل / نظرية النمو الأخلاقي
thinkers,ليندا كون,Linda Kuhn,thk-lkuhn,1990,دائرة الأمان (Circle of Security)
thinkers,لوكا لوزي,Luca Losi,thk-llosi,1995,العلاج الأسري الميلاني (Milan Systemic)
thinkers,ليستر لوبورسكي,Lester Luborsky,thk-lluborsky,1950-2005,التحليل النفسي الدوري (Cyclical Psychodynamics)
thinkers,لوسي جين ميلر,Lucy Jane Miller,thk-lmiller,1980,التكامل الحسي (Sensory Integration)
thinkers,ليندا جيمس مايرز,Linda James Myers,thk-lmyers,1985,علم النفس المتمركز حول أفريقيا (Africentric/Optimal Theory)
thinkers,لورينا أونان,Lorena Onnis,thk-lonan,1985,العلاج الأسري الميلاني (Milan Systemic)
thinkers,لويس غيرني,Louise F. Guerney,thk-louise-guerney,1970,Filial Therapy (العلاج العلائقي الوالد-الطفل)
thinkers,إيفار لوفاس,Ole Ivar Lovaas,thk-lovaas,1965-2000,تحليل السلوك التطبيقي للتوحد (br-aba-autism)
thinkers,لورا بيرلز,Laura Perls,thk-lperls,1942-1990,علاج الجشطالت (Gestalt Therapy)
thinkers,لويس شولتز,Louis Schultz,thk-lschultz,1970-2005,الرولفينغ والتكامل الهيكلي
thinkers,لودفيغ بينسوانغر,Ludwig Binswanger,thk-ludwigbinswanger,1908-1966,المدرسة الوجودية (Daseinsanalyse)
thinkers,لورا ووكر,Laura A. Walker,thk-lwalker,1980-2010,العلاج بالتحويل (Conversion Therapy)
thinkers,ليمن وين,Lyman C. Wynne,thk-lwynne,1958-2000,العلاج الأسري والزوجي الدينامي (br-dynamic-couples-family-therapy)
thinkers,ميلاني سيغال,Melanie Segall,thk-melanie-segall,2010,التنويم الذاتي
thinkers,ميليسا شيفر,Melissa Schaefer,thk-melissaschaefer,2010,br-mst
thinkers,مارغريت هيكي,Margaret Hickey,thk-mhickey,1990-2020,CBCT
thinkers,ميتشيو هوسوكاوا,Michio Hosokawa,thk-mhosokawa,1975,علاج موريتا
thinkers,مايكل ديرمر,Michael Der Meer,thk-michael-derm,2005,تقنية ألكسندر
thinkers,مايكل غوثري,Michael Guthrie,thk-michael-guthrie,2012,العلاج الديناميكي البيني القصير (DIT)
