category,title_ar,title_en,slug,active_period,school
thinkers,هيروشي كاواشيما,Hiroshi Kawashima,thk-hkrystal,1975,علاج موريتا
thinkers,هارييت وايس,Harriet F. Weiss,thk-hweiss,1985,هاكومي (Hakomi)
thinkers,جاكلين پيرت,Jacqueline Peart,thk-jacqueline-peart,2010,br-restorative-justice
thinkers,جاكلين تورتوريلا,Jacqueline Tortorella,thk-jacqueline-tortorella,2018,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جاكلين فارنر,Jacqueline M. Varner,thk-jacqueline-varner,2010,br-sport-psychology
thinkers,نوربلز إيفانز-هيل,Nobles Evans-Hill,thk-jakhan,1972,علم النفس المتمركز حول أفريقيا
thinkers,جيمس بيرمان,James S. Berman,thk-james-berman,2010,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جيمس غومپرت,James Gumpert,thk-james-gumpert,2010,العلاج القائم على الأمل (Snyder)
thinkers,جانيس ويليامز,Janice Williams,thk-janicewilliams,2005,Te Whare Tapa Whā (نموذج)
thinkers,جارلينا وايت,Jarlena White,thk-jarlena-white,2010,فرق العكس العاكسة (Reflecting Teams)
thinkers,جوناثان بِكر,Jonathan Becker,thk-jbeker,2000,DDP (العلاج التفاعلي النمائي الثنائي)
thinkers,كاثلين براون,Kathleen Brown,thk-jbrowne,2000,العلاج بالكتابة/الكتابة التعبيرية
thinkers,جون تشارلز,John Charles,thk-jchales,2000,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,جوردان ديفيد,Jordan David,thk-jdavid,1990-2010,العلاج الاجتماعي (Social Therapy)
thinkers,جينا براون,Jenna Brown,thk-jenna-brown,2014,br-discernment-counseling
thinkers,جينيفر أولدنغ,Jennifer Olding,thk-jennifer-olding,2015,العلاج الزوجي المرتكز على الانفعال (EFT)
thinkers,جينيفر شواب,Jennifer L. Schwab,thk-jenniferschwab,2015,Discernment Counseling (الاستشارة التمييزية)
thinkers,جيني كريستنسن,Jenny M. Christensen,thk-jenny-christensen,2010,العلاج الديناميكي البيني القصير (DIT)
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST)
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations)
thinkers,جاك ليتشنر,Jack J. Lechner,thk-jlchner,1980,الشعر العلاجي
thinkers,جون ماندر روس,John Munder Ross,thk-jmunderross,1974-present,التحليل النفسي
thinkers,[مؤسِّسو Sandplay Therapy Japan / JST] - Japanese Sandplay second generation,Founders of Japanese Sandplay Therapy Association,thk-jnakamura,,مدرسة التحليل النفسي
thinkers,جون فريدمان,John Friedman,thk-john-friedman,,العلاج القائم على الأمل (Snyder)
thinkers,جون ليبمان,John W. Lippmann,thk-john-lippmann,,فرق العكس العاكسة (Reflecting Teams)
thinkers,جون ماكنتوش,John McIntosh,thk-johnmcintosh,1975-present,علم النفس الإكلينيكي / الفجيعة والانتحار
thinkers,جوناه لويز,Jonah Lehrer,thk-jonahlewis,2007-2012,صحافة علمية / علم الأعصاب الشعبي
thinkers,خوسيه أرسينيو,José Arsenio,thk-jose-arsenio,,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,خوسيه سالغادو,José Salgado,thk-jose-salgado,,التنويم الذاتي
thinkers,جوزيف باربر,Joseph Barber,thk-joseph-barber,,أسلوب إلمان في التنويم
thinkers,جوزيف ترايمبل,Joseph E. Trimble,thk-josephtrimble,,الاستشارات متعددة الثقافات
thinkers,جون بار,John Parr,thk-jparrh,,الأنظمة اللغوية التعاونية
thinkers,جيرالد باترسون,Gerald R. Patterson,thk-jpatterson,,MDFT (العلاج الأسري متعدد الأبعاد)
thinkers,جي رامييرو,Jean-Luc Ramaro,thk-jramiro,,Ho'oponopono (هاواي)
