category,title_ar,title_en,slug,active_period,school
thinkers,جيل فريدمان,Jill Freedman,thk-jfreedman,1985,العلاج السردي (Narrative Therapy)
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري
thinkers,جين غيبسر,Jean Gebser,thk-jgebser,1949-1973,علم النفس التكاملي (Integral)
thinkers,جون جيدو,John E. Gedo,thk-jgedo,1965-2014,التنويم التحليلي
thinkers,جوليا غوتمان,Julie Schwartz Gottman,thk-jgottman-sr,1990,طريقة غوتمان الزوجية
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST)
thinkers,جايك غرينسبان,Jake Greenspan,thk-jgreenspan,2000,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,جون غروزولير,John Gruzelier,thk-jgruzelier,1985,التغذية الراجعة العصبية
thinkers,جاي هالي,Jay Haley,thk-jhaley,1953-2007,علاج التبعية-السلطة (SAR)
thinkers,جوديث هِرمان,Judith L. Herman,thk-jherman,1981,علاج الصدمة العصبي
thinkers,جين هيوستن,Jean Houston,thk-jhouston,1971,EST / Landmark Forum
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة
thinkers,جيم لور,Jim Loehr,thk-jim-loehr,1975,br-performance-psychology
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,هانز يوناس,Hans Jonas,thk-jjonas,1979-1993,البحث الظاهراتي
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations)
thinkers,جيروم كاغان,Jerome Kagan,thk-jkagan,1957-2021,علم نفس الطفل
thinkers,جو كاميا,Joe Kamiya,thk-jkamiya,1958-2010,التغذية الراجعة العصبية
thinkers,جون كينستروم,John F. Kihlstrom,thk-jkihnstrom,1975,التنويم العلاجي السريري
thinkers,جاك كورنفيلد,Jack Kornfield,thk-jkornfield,1974,العلاج النفسي التأملي
thinkers,جاك ليتشنر,Jack J. Lechner,thk-jlchner,1980,الشعر العلاجي
thinkers,جوزيف لودوكس,Joseph E. LeDoux,thk-jledoux,1977,br-affective-neuroscience-informed
thinkers,جون لِلي,John C. Lilly,thk-jlilly,1954-2001,التنفس الهولوتروبي
thinkers,[مؤسِّسو أعمدة Rivista di Psicologia Analitica],[Editors of Italian Rivista di Psicologia Analitica],thk-jmertz,,مدرسة التحليل النفسي
thinkers,جون موناهان,John Monahan,thk-jmonahan,1973-2017,br-therapeutic-risk-assessment
