category,title_ar,title_en,slug,active_period,school
thinkers,ماريا روساريو ألفيلور,Ma. Rosario Alfelor,thk-ma-rosario-alfelor,2005,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,مادلين ساندبرغ,Madeleine Sandberg,thk-madeleine-sandberg,2010,التركيز (Focusing)
thinkers,مهارشي ماهيش يوغي,Maharishi Mahesh Yogi,thk-maharishi,1955-2008,علم النفس الأيورفيدي/الهندي التقليدي
thinkers,ماريان ماهونِي,Marian J. Mahoney,thk-mahoney,1990,Filial Therapy (العلاج العلائقي الوالد-الطفل)
thinkers,ماورو أندولفي,Mauro Andolfi,thk-mandolfi,1980,العلاج الأسري الميلاني (Milan Systemic)
thinkers,مارسيا ماركس,Marcia B. Marx,thk-marciamarx,1990,السيكودراما والسوسيومتري (Moreno)
thinkers,مارغريت بلوستين,Margaret Bluestein,thk-margaret-bluestein,2010,الأنساق الأسرية الداخلية (IFS)
thinkers,مارغريت بودكن,Margaret L. Bodkin,thk-margaretbodkin,1990,العلاج بالخبرة/التجريبي
thinkers,ماريان كركمار,Marian Krcmar,thk-marian-krcmar,2010,br-performance-psychology
thinkers,ماريان ستروم,Marianne Ström,thk-marianne-strom,2010,العلاج بالتصوير الضوئي
thinkers,ماريان كلاين,Marianne Kline,thk-mariannekline,2000,الخبرة الجسدية (Somatic Experiencing)
thinkers,مارييل كروغر,Marielle Kruger,thk-mariellekruger,2015,الأنساق الأسرية الداخلية (IFS)
thinkers,ماريسا بيركوور,Marisa Berkouwer,thk-marisaberkouwer,2010,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,مارك سانتروس,Mark R. Dombeck,thk-mark-santross,2000,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,مارك ريس,Mark Reese,thk-markrees,1990,طريقة فيلدنكرايس
thinkers,مارك ويلش,Mark Welch,thk-markwelch,2000,العلاج بالخبرة/التجريبي
thinkers,ماري إلمكويست,Mary Elmquist,thk-mary-elmquist,2010,br-recovery-oriented
thinkers,ماري غوثري,Mary Guthrie,thk-mary-guthrie,2012,العلاج الديناميكي البيني القصير (DIT)
thinkers,ماري ستيوارت,Mary Stewart,thk-mary-stewart,1980,تحليل المعاملات (TA)
thinkers,ماري وايتهاوس,Mary Whitehouse,thk-mary-whitehouse,1950-1979,العلاج بالحركة والرقص
thinkers,ماري أولسون,Mary E. Olson,thk-maryolson,2000,الحوار المفتوح
thinkers,ماساكي تاكاهاشي,Masaaki Takahashi,thk-masaaki-takahashi,1980,علاج نايكان
thinkers,ماسون دوري,Sir Mason Durie,thk-masondurie,1972,Kaupapa Māori Psychology
thinkers,مارغريت باومان,Margaret Bauman,thk-mbauman,1985,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,مايكل بيليغ,Michael Billig,thk-mbillig,1988,علم النفس الخطابي (Discursive Psychology)
thinkers,مايكل بوغِنشوتس,Michael P. Bogenschutz,thk-mbogenschutz,2010,العلاج بمساعدة psilocybin
thinkers,مارفن تشِن,Marvin Chen,thk-mchen,1985-2010,السيكودراما والسوسيومتري
thinkers,مانفريد شيربكا,Manfred Cierpka,thk-mcierpka,1980,العلاج الإيجابي عبر-الثقافي (Peseschkian)
thinkers,ماريك تشيسلاك,Marek Cieslak,thk-mcieslak,,البحث الظاهراتي
