category,title_ar,title_en,slug,active_period,school
thinkers,ماكس كلايتون,G. Max Clayton,thk-mclayton,1970-2010,السيكودراما والسوسيومتري
thinkers,ماري إيلين كوبلاند,Mary Ellen Copeland,thk-mcopeland,1997-2021,br-peer-support
thinkers,ميهايلي تشيكسنتميهالي,Mihaly Csikszentmihalyi,thk-mcsik,1975-2021,علم النفس الإيجابي (Seligman)
thinkers,ميدارد بوس,Medard Boss,thk-medardboss,1946-1990,المدرسة الوجودية
thinkers,ميلاني سيغال,Melanie Segall,thk-melanie-segall,2010,التنويم الذاتي
thinkers,ميليسا شيفر,Melissa Schaefer,thk-melissaschaefer,2010,br-mst
thinkers,مارلي فاركاش,Marlley Farkas,thk-mfarkas,1990-2010,br-psychiatric-rehabilitation
thinkers,ماريون فورغاتش,Marion S. Forgatch,thk-mforgatch,1980,ABFT (العلاج الأسري المرتكز على التعلق)
thinkers,ماري جيرغِن,Mary Gergen,thk-mgergen,1985,علم النفس النقدي
thinkers,مارك غولد,Marc B. Gold,thk-mgold,1980,br-psychiatric-vocational-rehab
thinkers,ماريا غوموري,Maria Gomori,thk-mgomori,1980-2012,نموذج ساتير للنمو
thinkers,ماكسين هاريس,Maxine Harris,thk-mharris,1980,br-case-management
thinkers,مارغريت هيكي,Margaret Hickey,thk-mhickey,1990,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,ميتشيو هوسوكاوا,Michio Hosokawa,thk-mhosokawa,1975,علاج موريتا
thinkers,مايكل ف. هويت,Michael F. Hoyt,thk-mhoyt,1995,br-single-session-therapy
thinkers,مايكل ديرمر,Michael Der Meer,thk-michael-derm,2005,تقنية ألكسندر
thinkers,مايكل غوثري,Michael Guthrie,thk-michael-guthrie,2012,العلاج الديناميكي البيني القصير (DIT)
thinkers,دانيال بيت,Daniel P. Behnke,thk-michael-yapko-jr,2010,التنويم الإريكسوني
thinkers,مايكل يارب,Michael Yapko,thk-michael-yarp,1980,أسلوب إلمان في التنويم
thinkers,مايكل سويتنغ,Michael Sweeting,thk-michaelsweeting,1990,Te Whare Tapa Whā (نموذج)
thinkers,ميتشيو ميزونو,Michio Mizuno,thk-michio-mizuno,1960,علاج نايكان
thinkers,ماري هيلين إيموردينو-يانغ,Mary Helen Immordino-Yang,thk-mimordino-yang,2007,br-affective-neuroscience-informed
thinkers,لي مينغ شنغ,Li Mingsheng,thk-mingshengli,2010,الطاوية المعرفية (Taoist Cognitive Therapy)
thinkers,مينو بولين,Mino Paulin,thk-minopaulin,2000,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
