category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,مارييل كروغر,Marielle Kruger,thk-mariellekruger,2015,الأنساق الأسرية الداخلية (IFS),CONFIRMED_REAL,"Real person is Mary Kruger (IFS Lead Trainer, LMFT, Rimmon Pond Counseling). Corrected name; matches IFS field.",TRUE
thinkers,ماريسا بيركوور,Marisa Berkouwer,thk-marisaberkouwer,2010,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),LIKELY_FABRICATED,No evidence of a 'Marisa Berkouwer' connected to Sensorimotor Psychotherapy.,N-A
thinkers,مارك سانتروس,Mark R. Dombeck,thk-mark-santross,2000,PCIT (العلاج التفاعلي بين الوالد والطفل),LIKELY_FABRICATED,A real psychologist named Mark R. Dombeck exists but no PCIT connection found; title_ar 'Mark Santross' does not match title_en at all.,N-A
thinkers,مارك ويلش,Mark Welch,thk-markwelch,2000,العلاج بالخبرة/التجريبي,LIKELY_FABRICATED,"No specific 'Mark Welch' found connected to experiential therapy; multiple unrelated Mark Welches exist (biologist, ENT nurse researcher, etc).",N-A
thinkers,ماري إلمكويست,Mary Elmquist,thk-mary-elmquist,2010,br-recovery-oriented,LIKELY_FABRICATED,No evidence of a psychology figure named Mary Elmquist in recovery-oriented care.,N-A
thinkers,ماري غوثري,Mary Guthrie,thk-mary-guthrie,2012,العلاج الديناميكي البيني القصير (DIT),LIKELY_FABRICATED,No evidence connecting a Mary Guthrie to Dynamic Interpersonal Therapy (DIT).,N-A
thinkers,ماري ستيوارت,Mary Stewart,thk-mary-stewart,1980,تحليل المعاملات (TA),LIKELY_FABRICATED,No specific Mary Stewart found as a TA thought leader; real TA authors are Ian Stewart & Vann Joines.,N-A
thinkers,ماساكي تاكاهاشي,Masaaki Takahashi,thk-masaaki-takahashi,1980,علاج نايكان,LIKELY_FABRICATED,No evidence of a Masaaki Takahashi connected to Naikan therapy.,N-A
thinkers,مارفن تشِن,Marvin Chen,thk-mchen,1985-2010,السيكودراما والسوسيومتري,LIKELY_FABRICATED,No evidence of a Marvin Chen connected to psychodrama/sociometry.,N-A
thinkers,ماريك تشيسلاك,Marek Cieslak,thk-mcieslak,,البحث الظاهراتي (Phenomenological Research),LIKELY_FABRICATED,"No evidence of a Marek Cieslak in phenomenological psychology research (different Cieslaks found: Matt/Roman Cieslak, unrelated fields).",N-A
thinkers,دانيال بيت,Daniel P. Behnke,thk-michael-yapko-jr,2010,التنويم الإريكسوني,LIKELY_FABRICATED,No evidence of a Daniel P. Behnke connected to Ericksonian hypnosis; title_ar 'Daniel Beit' and slug reference Michael Yapko Jr. but no such figure found.,N-A
thinkers,بيتر فيشر,Peter Fisher,thk-pfisher,2000,العلاج متعدد الأجهزة (MST),LIKELY_FABRICATED,"No specific Peter Fisher found founding/central to MST; common name, only incidental co-author mentions.",N-A
thinkers,بيتر غودفري,Peter A. Godfrey,thk-pgodfrey,1990,العلاج العلائقي المجسد (ERT),LIKELY_FABRICATED,No evidence of a Peter A. Godfrey connected to Embodied Relational Therapy (ERT).,N-A
thinkers,بي. كيت هَكْني,P. Cathy Hackney,thk-phackney,1990,Body-Mind Centering,LIKELY_FABRICATED,No evidence of a Cathy/P. Cathy Hackney connected to Body-Mind Centering.,N-A
thinkers,مايكل بيبيتي,Michael Pīpīte,thk-pipitea,2005,Te Whare Tapa Whā (نموذج),LIKELY_FABRICATED,No evidence of a Michael Pīpīte connected to Te Whare Tapa Whā (real originator is Sir Mason Durie).,N-A
thinkers,روني لانجفان,Roni L. Langevin,thk-plangevin,1983-2005,br-sotp,STILL_UNCERTAIN,"A real sex-offender-treatment researcher Ron Langevin exists, but different first name/gender than 'Roni L. Langevin' and no direct SOTP program link confirmed.",N-A
thinkers,رافائيل إيدث,Rafaeli Eyth,thk-rafaeli-eyth,2000,br-performance-psychology,LIKELY_FABRICATED,No evidence of a Rafaeli Eyth connected to performance psychology.,N-A
thinkers,راندي ستابلر,Randy Stabler,thk-randystabler,2010,br-mst,LIKELY_FABRICATED,"No evidence of a Randy Stabler connected to MST; other unrelated Randy Stablers found (automotive, chemical industry).",N-A
thinkers,روبرت باور,Robert Bauer,thk-rbauer,1980-2010,السيكودراما والسوسيومتري,LIKELY_FABRICATED,No evidence of a Robert Bauer connected to psychodrama/sociometry as a central figure.,N-A
thinkers,راندي هوتون,Randy Hooton,thk-rhooton,1970,العلاج البدائي,LIKELY_FABRICATED,No evidence of a Randy Hooton connected to primal therapy.,N-A
thinkers,ريك ليفي,Rick A. Levy,thk-rick-levy,2015,PCIT (العلاج التفاعلي بين الوالد والطفل),STILL_UNCERTAIN,Multiple real 'Rick Levy' psychologists exist but none confirmed as PCIT-specific; ambiguous which one (if any) matches.,N-A
thinkers,راماكريشنا نارايان,R. K. Narayan,thk-rk-narayan,1980,علم النفس الفيدي (المستند إلى الفيد),LIKELY_FABRICATED,"The real R.K. Narayan is a novelist, not a Vedic psychologist; no separate Vedic-psychology figure by this name found.",N-A
thinkers,روبرت كلارك,Robert M. Clark,thk-rkeller,1980,br-interpersonal-neurobiology,LIKELY_FABRICATED,No evidence of a Robert M. Clark connected to interpersonal neurobiology (real founder is Daniel Siegel).,N-A
