category,title_ar,title_en,slug,active_period,school,status,note,page_created
thinkers,هيروشي كاواشيما,Hiroshi Kawashima,thk-hkrystal,1975,علاج موريتا,LIKELY_FABRICATED,"No trace of a Hiroshi Kawashima associated with Morita therapy; search results only surfaced unrelated medical researchers of the same common name.",FALSE
thinkers,هارييت وايس,Harriet F. Weiss,thk-hweiss,1985,هاكومي (Hakomi),CONFIRMED_REAL,"Name/gender mismatch: the real Hakomi co-founder/leader is Halko Weiss (male), not Harriet F. Weiss. Treated as a spelling/gender confusion of the same real figure; corrected name used in the created page.",TRUE
thinkers,جاكلين پيرت,Jacqueline Peart,thk-jacqueline-peart,2010,br-restorative-justice,LIKELY_FABRICATED,"Only unrelated people found (a preacher/ministry founder, a chaplain instructor); no restorative-justice figure by this name.",FALSE
thinkers,جاكلين تورتوريلا,Jacqueline Tortorella,thk-jacqueline-tortorella,2018,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,"No EFT figure found; only unrelated people with similar surname (Alyssa Tortorella, an account manager, a hockey coach).",FALSE
thinkers,جاكلين فارنر,Jacqueline M. Varner,thk-jacqueline-varner,2010,br-sport-psychology,LIKELY_FABRICATED,"No sport-psychology figure found under this name; only obituaries and unrelated people.",FALSE
thinkers,نوربلز إيفانز-هيل,Nobles Evans-Hill,thk-jakhan,1972,علم النفس المتمركز حول أفريقيا,LIKELY_FABRICATED,"No such combined name found. Real African-centered psychology founder is Wade W. Nobles, but 'Nobles Evans-Hill' does not match him or any other documented figure.",FALSE
thinkers,جيمس بيرمان,James S. Berman,thk-james-berman,2010,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,"Several EFT-practicing therapists named (James/Jackie/Bruce) Berman exist but none is a documented EFT theorist/founder matching this specific figure.",FALSE
thinkers,جيمس غومپرت,James Gumpert,thk-james-gumpert,2010,العلاج القائم على الأمل (Snyder),LIKELY_FABRICATED,"No James Gumpert found connected to Snyder's hope therapy; only an unrelated 'P. Gumpert' citation and a car company of similar name.",FALSE
thinkers,جانيس ويليامز,Janice Williams,thk-janicewilliams,2005,Te Whare Tapa Whā (نموذج),LIKELY_FABRICATED,"Te Whare Tapa Whā was developed by Sir Mason Durie (1984), not Janice Williams; no trace of this person in connection with the model.",FALSE
thinkers,جارلينا وايت,Jarlena White,thk-jarlena-white,2010,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,"No trace of this person in reflecting-teams literature.",FALSE
thinkers,جوناثان بِكر,Jonathan Becker,thk-jbeker,2000,DDP (العلاج التفاعلي النمائي الثنائي),LIKELY_FABRICATED,"DDP was developed by Dan Hughes with Arthur Becker-Weidman; 'Jonathan Becker' does not match either and has no independent trace as a DDP figure.",FALSE
thinkers,كاثلين براون,Kathleen Brown,thk-jbrowne,2000,العلاج بالكتابة/الكتابة التعبيرية,LIKELY_FABRICATED,"No writing-therapy theorist found under this name; only an unrelated creative-writing PhD student blog.",FALSE
thinkers,جون تشارلز,John Charles,thk-jchales,2000,CBCT (العلاج الزوجي المعرفي-السلوكي),LIKELY_FABRICATED,"CBCT's documented founders/authors are Baucom, Epstein, etc.; no John Charles found in this field.",FALSE
thinkers,جوردان ديفيد,Jordan David,thk-jdavid,1990-2010,العلاج الاجتماعي (Social Therapy),LIKELY_FABRICATED,"Social Therapy was founded by Fred Newman and Lois Holzman; no 'Jordan David' found as a founder or major figure (one unrelated 'David' mentioned only as a workshop presenter).",FALSE
thinkers,جينا براون,Jenna Brown,thk-jenna-brown,2014,br-discernment-counseling,LIKELY_FABRICATED,"No discernment-counseling theorist by this name; only unrelated therapists/counselors and a podcast host share the name.",FALSE
thinkers,جينيفر أولدنغ,Jennifer Olding,thk-jennifer-olding,2015,العلاج الزوجي المرتكز على الانفعال (EFT),LIKELY_FABRICATED,"Closest match is a practicing EFT therapist 'Jennifer Olden' (not Olding), not a theorist/founder; insufficient to confirm.",FALSE
thinkers,جينيفر شواب,Jennifer L. Schwab,thk-jenniferschwab,2015,Discernment Counseling (الاستشارة التمييزية),LIKELY_FABRICATED,"Multiple unrelated Jennifer Schwabs found (attorney, OB/GYN, counselor) but none documented as a discernment-counseling figure.",FALSE
thinkers,جيني كريستنسن,Jenny M. Christensen,thk-jenny-christensen,2010,العلاج الديناميكي البيني القصير (DIT),LIKELY_FABRICATED,"No DIT theorist found under this name; only unrelated nurse practitioners/therapists/coaches sharing the name.",FALSE
thinkers,جوزيف غانت,Joseph Gantt,thk-jgantt,2000,السيكودراما والسوسيومتري,LIKELY_FABRICATED,"Psychodrama/sociometry founder is J.L. Moreno; no Joseph Gantt found (only unrelated 'Gantt & Badenoch' citation on group neurobiology).",FALSE
thinkers,جيمس ليبشيتز,James Lubin,thk-jgould,1980,العلاج متعدد الأجهزة (MST),LIKELY_FABRICATED,"A real psychiatrist James Lubin, MD exists (child/adolescent psychiatrist using MST clinically) but is a practicing clinician, not the founder/theorist of Multisystemic Therapy (that is Scott Henggeler).",FALSE
thinkers,جيم أكرمان,Jim Ackerman,thk-jim-ackerman,2005,إعادة الولادة,LIKELY_FABRICATED,"No rebirthing-therapy figure by this name found; only unrelated people (Ackerman Institute is named after Nathan Ackerman, unrelated).",FALSE
thinkers,يونغ جينغ تشي,Yong Jingqi,thk-jingqiyong,2010,الطاوية المعرفية (Taoist Cognitive Therapy),CONFIRMED_REAL,"Name mismatch: the real founders of Chinese Taoist Cognitive Therapy are Yang Desen (Yang Deshen) and Zhang Yalin, not 'Yong Jingqi'. Treated as the same real figure (Yang Desen) with corrected name.",TRUE
thinkers,مارغريت بِي,Margaret P. Be,thk-jjoyce,1995,تشكيلات الأسرة (Family Constellations),LIKELY_FABRICATED,"No trace of this specific person in family constellations literature (founder is Bert Hellinger).",FALSE
thinkers,جاك ليتشنر,Jack J. Lechner,thk-jlchner,1980,الشعر العلاجي,LIKELY_FABRICATED,"The only documented 'Jack Lechner' is a film/TV producer and Columbia professor, unrelated to poetry therapy.",FALSE
thinkers,جون ماندر روس,John Munder Ross,thk-jmunderross,1974-present,التحليل النفسي,CONFIRMED_REAL,"Well-documented American psychoanalyst, Weill Cornell/Columbia clinical professor, prolific author; died 2025. Active period corrected to 1975–2025.",TRUE
thinkers,[مؤسِّسو Sandplay Therapy Japan / JST] - Japanese Sandplay second generation,Founders of Japanese Sandplay Therapy Association,thk-jnakamura,,مدرسة التحليل النفسي,LIKELY_FABRICATED,"Generic/collective placeholder, not a real named individual; the actual documented founder of Japanese sandplay is Hayao Kawai.",FALSE
thinkers,جون فريدمان,John Friedman,thk-john-friedman,,العلاج القائم على الأمل (Snyder),LIKELY_FABRICATED,"No John Friedman found connected to Snyder's hope theory.",FALSE
thinkers,جون ليبمان,John W. Lippmann,thk-john-lippmann,,فرق العكس العاكسة (Reflecting Teams),LIKELY_FABRICATED,"No trace of this person in reflecting-teams literature; only unrelated people of similar surname found.",FALSE
