category,title_ar,title_en,slug,active_period,school,status,note
thinkers,كارلو كيرانن,Kaarlo Keränen,thk-kaarlokeranen,1990,الحوار المفتوح,VERIFIED,"Name appears as co-researcher (Keränen 1992) in Finnish Open Dialogue literature alongside Seikkula/Alakare/Haarakangas/Lehtinen; school matches."
thinkers,كارين هورناي,Karen Horney,thk-karenhorney,1913-1952,الفرويدية الجديدة/التحليل البيني الثقافي,VERIFIED,"Confirmed German-American psychoanalyst (1885-1952); neo-Freudian, culture/interpersonal school confirmed. Corrected active_period to career span (medical degree 1913-death 1952) from input '1914-1952'."
thinkers,كيران عاشان,Kiran Ashana,thk-kashan,2010,علم النفس الإيجابي الشرقي,UNCERTAIN,"No documented person named 'Kiran Ashana' found connected to Eastern positive psychology; only unrelated namesakes (tutors, clinicians) surfaced."
thinkers,كاثي لورنسو,Kathy J. Laurenceau,thk-kathylaurenceau,2000,Discernment Counseling (الاستشارة التمييزية),UNCERTAIN,"Discernment Counseling literature attributes the model to Bill Doherty et al.; no 'Kathy/Kathleen Laurenceau' found as originator or notable contributor."
thinkers,كايتي ري,Katie Rae,thk-katie-rae,2015,إعادة الولادة,UNCERTAIN,"Rebirthing/Rebirthing-Breathwork history credits Leonard Orr; no 'Katie Rae' found associated with the modality."
thinkers,كاتكا روبين,Katka Rubin,thk-katka-rubin,2012,التركيز (Focusing),UNCERTAIN,"Focusing literature centers on Eugene Gendlin and the International Focusing Institute; no 'Katka Rubin' found."
thinkers,كينيث كولبي,Kenneth Mark Colby,thk-kcolby,1963-2001,br-ai-chatbot-therapy,VERIFIED,"Confirmed Stanford psychiatrist who created PARRY (1972), an early AI chatbot simulating paranoid schizophrenia ('ELIZA with attitude'); died 2001. Active period corrected to reflect career through death."
thinkers,كيكو هوشينو,Keiko Hoshino,thk-keiko-hoshino,1980,علاج نايكان,UNCERTAIN,"Naikan therapy's documented founder is Ishin Yoshimoto; no 'Keiko Hoshino' found in Naikan/Morita literature."
thinkers,كولين كيلي,Colleen Kelley,thk-kelleycolleen,1990,العلاج الحسي-الحركي (Sensorimotor Psychotherapy),UNCERTAIN,"Sensorimotor Psychotherapy was founded by Pat Ogden; search surfaced a 'Dr. Kelley Callahan' as a contributor, not 'Colleen Kelley' — likely name confusion, unverified."
thinkers,كيفن سپارجر,Kevin L. Sparger,thk-kevin-sparger,2010,العلاج القائم على الأمل (Snyder),UNCERTAIN,"Hope Therapy is tied to C.R. Snyder and colleague Kevin L. Rand; no 'Kevin L. Sparger' found — possible confusion with Kevin Rand."
thinkers,كيم فيني,Kim Feeney,thk-kfeeney,2000,PREP (برنامج تعزيز العلاقة والوقاية),UNCERTAIN,"PREP was founded by Howard Markman and colleagues at University of Denver; no 'Kim Feeney' found as originator or key figure."
thinkers,كيم غولدنغ,Kim S. Golding,thk-kgolding,2000-present,DDP (العلاج التفاعلي النمائي الثنائي),VERIFIED,"Confirmed UK clinical psychologist (CBE), major DDP trainer/author with Dan Hughes; active_period corrected — her DDP/parenting publications and training work run from the 2000s to present, not from 1995."
thinkers,كلاوس هولتسكامب,Klaus Holzkamp,thk-kholzkamp,1968-1995,علم النفس النقدي,VERIFIED,"Confirmed founder of German Critical Psychology (Kritische Psychologie), Free University Berlin, lived 1927-1995. Active period corrected to critical-emancipatory period onset (1968) through death (1995), vs input '1972-1995'."
thinkers,كوبِي كامبون,Kobi K. Kambon,thk-kkambon,1975-2010,علم النفس المتمركز حول أفريقيا,VERIFIED,"Confirmed African-centered psychologist (born Joseph A. Baldwin, 1943-2018), PhD 1975, chaired Florida A&M psychology dept 1982-2010. Active period corrected to reflect documented career span."
thinkers,كينيث كوخ,Kenneth Koch,thk-kkoch,1953-2002,الشعر العلاجي,VERIFIED,"Confirmed American poet/teacher (1925-2002) who pioneered teaching poetry writing to children, the elderly, and the ill (books incl. 'I Never Told Anybody'), foundational to poetry-therapy practice though not a clinician himself; active_period corrected to his publishing/teaching career."
thinkers,كورت كوفكا,Kurt Koffka,thk-kkoffka,1910-1941,علم النفس الجشطالتي (برلين),VERIFIED,"Well-documented co-founder of Gestalt psychology (Berlin school) with Wertheimer and Köhler, lived 1886-1941. NOTE: not independently re-searched this session (WebSearch budget exhausted); classification based on well-established, uncontested biographical record."
