category,title_ar,title_en,slug,active_period,school,status,note
thinkers,جون ماندر روس,John Munder Ross,thk-jmunderross,1974-present,التحليل النفسي,UNCERTAIN,"Real psychoanalyst (Columbia Clinical Professor, NYU PhD 1974) per johnmunderross.com and Weill Cornell bio; school listed as 'التنويم التحليلي' (analytic hypnosis) does not match his actual field of psychoanalysis, and active_period 1965 predates his career"
thinkers,[مؤسِّسو Sandplay Therapy Japan / JST] - Japanese Sandplay second generation,Founders of Japanese Sandplay Therapy Association,thk-jnakamura,,مدرسة التحليل النفسي,UNCERTAIN,"The Japan Association of Sandplay Therapy (JAST) and International Society for Sandplay Therapy (founded 1985, Japanese founders Hayao Kawai, Yasuhiro Yamanaka, Kazumiko Higuchi) are real, but the specific 'second generation founders' collective entry could not be independently confirmed"
thinkers,جون نوركروس,John C. Norcross,thk-jnorcross,1980-present,العلاج التكاملي,VERIFIED,"Real, well-documented clinical psychologist at University of Scranton; author of Handbook of Psychotherapy Integration, past president of SEPI; school matches integrative therapy; active_period corrected from 1985 to approx. 1980-present"
thinkers,جون برايثوايت,John Braithwaite,thk-john-braithwaite,1980-present,br-restorative-justice,VERIFIED,"Real criminologist (ANU, RegNet founder), leading restorative justice scholar (Crime, Shame and Reintegration 1989; Balzan Prize 2024); school code matches"
thinkers,جون فريدمان,John Friedman,thk-john-friedman,,العلاج القائم على الأمل (Snyder),UNCERTAIN,"Search found only a passing 2003 critique attributed to a 'John Friedman' regarding hope-theory methodology; could not confirm this is a distinct, documented theorist/practitioner of hope therapy (common name, weak evidence)"
thinkers,جون ليبمان,John W. Lippmann,thk-john-lippmann,,فرق العكس العاكسة (Reflecting Teams),UNCERTAIN,"Search on reflecting teams in family therapy returns Tom Andersen as the originator; no evidence found connecting a 'John W. Lippmann' to this method"
thinkers,جون ماكنتوش,John McIntosh,thk-johnmcintosh,1975-present,علم النفس الإكلينيكي / الفجيعة والانتحار,UNCERTAIN,"Real person found: John L. McIntosh, Professor Emeritus of Psychology (Indiana Univ. South Bend), suicidology/bereavement researcher (Grief After Suicide). However listed school 'الديانيتكس / السيانتولوجيا' (Dianetics/Scientology) does not match his actual field at all — likely a data error"
thinkers,جون شلين,John M. Shlien,thk-johnshlien,1950-1990s (d. 2002),علم النفس الإنساني,VERIFIED,"Real person (1918-2002), Harvard psychologist, colleague of Carl Rogers, key figure in client-centered/humanistic psychology; active_period corrected since he died in 2002, not 2005"
thinkers,جوناه لويز,Jonah Lehrer,thk-jonahlewis,2007-2012,صحافة علمية / علم الأعصاب الشعبي,UNCERTAIN,"Real person but a science journalist/author (How We Decide, Proust Was a Neuroscientist), not a psychotherapist or Alexander Technique practitioner; disgraced for fabrication/plagiarism in 2012-2013. Listed school 'تقنية ألكسندر' (Alexander Technique) does not match him at all"
thinkers,جوناثان بايلن,Jonathan Baylin,thk-jonathanbaylin,2005-present,العلاج التفاعلي النمائي الثنائي (DDP),VERIFIED,"Real clinical psychologist (PhD Vanderbilt/Peabody 1981), co-author with Daniel Hughes of Brain-Based Parenting and The Neurobiology of Attachment-Focused Therapy on DDP; school matches exactly"
thinkers,خوسيه أرسينيو,José Arsenio,thk-jose-arsenio,,Sikolohiyang Pilipino (Filipino Psychology),UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked; Sikolohiyang Pilipino is well documented but is generally attributed to Virgilio Enriquez, not a 'José Arsenio'"
thinkers,خوسيه سالغادو,José Salgado,thk-jose-salgado,,التنويم الذاتي,UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked"
thinkers,جوزيف باربر,Joseph Barber,thk-joseph-barber,,أسلوب إلمان في التنويم,UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked"
thinkers,جوزيف ترايمبل,Joseph E. Trimble,thk-josephtrimble,,الاستشارات متعددة الثقافات,UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked"
thinkers,جون بار,John Parr,thk-jparrh,,الأنظمة اللغوية التعاونية,UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked"
thinkers,جيرالد باترسون,Gerald R. Patterson,thk-jpatterson,,MDFT (العلاج الأسري متعدد الأبعاد),UNCERTAIN,"Not independently searched this session (budget exhausted); note Gerald R. Patterson is a real, well-known figure in coercion theory/social learning family therapy at Oregon Social Learning Center, but MDFT (Multidimensional Family Therapy) is generally attributed to Howard Liddle, not Patterson — likely a school/field mismatch that needs correction"
thinkers,جي رامييرو,Jean-Luc Ramaro,thk-jramiro,,Ho'oponopono (هاواي),UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked; name spelling looks potentially garbled"
thinkers,جوردان ريد,Jordan Reed,thk-jrivett,,العلاج الزوجي التعاوني (Collaborative Couple Therapy),UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked; note title_ar/title_en ('Jordan Reed') and slug ('jrivett') appear mismatched/inconsistent with each other"
thinkers,ج. لوك ويلز,J. Luke Wood,thk-jroddy,,br-teacch,UNCERTAIN,"Not verified — web search budget was exhausted this session before this row could be checked; note title_ar ('J. Luke Wood'-transliteration) and slug ('jroddy') appear mismatched with each other, and TEACCH is generally associated with Eric Schopler, not a 'J. Luke Wood'"
thinkers,ياكوب شنايدر,Jakob Schneider,thk-jschneider,,تشكيلات الأسرة (Family Constellations),UNCERTAIN,"Not independently searched this session (budget exhausted); Family Constellations is generally attributed to Bert Hellinger — a distinct 'Jakob Schneider' as originator/founder could not be confirmed"
